Table 1;Key1;Table 2;Key;grbit
Type_Application;No_Application;Base;No_Application;16781568
Type_Application;No_Application;Droits;No_Application;16781568
Type_Application;No_Application;Table_Base;No_Application;16781568
Amelioration;No_Amelioration;Amelioration_Doc;No_Amelioration;16781568
Chapitre;No_Chapitre;Amelioration;No_Chapitre;16781568
Chapitre;No_Chapitre;Lien_Application_Chapitre;No_Chapitre;33558784
Developpeur;No_Personnel;Amelioration;Realise_par;16777216
Type_Application;No_Application;Lien_Application_Chapitre;No_Application;16777219
Type_Demande;No_Type_demande;Amelioration;No_type_demande;16777216
Version;No;Amelioration;No_Version;16777218
Article;No_Code_Article;Article_Detail;No_Code_Article;16781568
Bible;No_Bible;Article;No_Bible;16781568
Bible;No_Bible;Bible_Droits;No_Bible;16781568
Bible;No_Bible;Famille_Article;No_Bilble;16781568
Chapitre;No_Chapitre;Ligne_Devis;No_chapitre;16781568
Devis;No_Devis;C2E;No_Devis;16781569
Devis;No_Devis;Chapitre;No_Devis;16781568
Devis;No_Devis;Definition_Tx;No_Devis;16781568
Devis;No_Devis;Document_Devis;No_Devis;16781568
Devis;No_Devis;Ligne_Dechet;No_Devis;16781568
Devis;No_Devis;Tx_Horaire;No_Devis;16781568
Ensemble;No_Ensemble;Ligne_Ensemble;No_Ensemble;16781568
Famille_Article;No_Famille;Article;No_Famille;16781568
Famille_Article;No_Famille;Famille_Droits;No_Famille;16781568
Groupe_Ensemble;No_Groupe;Ensemble;No_Groupe;16781568
Tx_Horaire;No_Tx;Ligne_Devis;No_Tx;16781568
Article;No_Code_Article;Article_Detail;No_Code_Article;16781568
Bible;No_Bible;Article;No_Bible;16781568
Bible;No_Bible;Bible_Droits;No_Bible;16781568
Bible;No_Bible;Famille_Article;No_Bilble;16781568
Chapitre;No_Chapitre;Ligne_Devis;No_chapitre;16781568
Devis;No_Devis;C2E;No_Devis;16781569
Devis;No_Devis;Chapitre;No_Devis;16781568
Devis;No_Devis;Definition_Tx;No_Devis;16781568
Devis;No_Devis;Document_Devis;No_Devis;16781568
Devis;No_Devis;Ligne_Dechet;No_Devis;16781568
Devis;No_Devis;Tx_Horaire;No_Devis;16781568
Ensemble;No_Ensemble;Ligne_Ensemble;No_Ensemble;16781568
Famille_Article;No_Famille;Article;No_Famille;16781568
Famille_Article;No_Famille;Famille_Droits;No_Famille;16781568
